tag,count,href,category
Zevran Arainai,6391,/tags/Zevran%20Arainai,c
Alistair/Zevran Arainai,394,/tags/Alistair*s*Zevran%20Arainai,r
Alistair/Female Warden (Dragon Age),2432,/tags/Alistair*s*Female%20Warden%20(Dragon%20Age),r
Alistair (Dragon Age),8598,/tags/Alistair%20(Dragon%20Age),c
Zevran Arainai/Male Warden,841,/tags/Zevran%20Arainai*s*Male%20Warden,r
Zevran Arainai/Tabris,90,/tags/Zevran%20Arainai*s*Tabris,r
Zevran Arainai/Cousland,23,/tags/Zevran%20Arainai*s*Cousland,r
Zevran Arainai/Female Warden,1295,/tags/Zevran%20Arainai*s*Female%20Warden,r
Nathaniel Howe,1925,/tags/Nathaniel%20Howe,c
Alistair/Male Warden (Dragon Age),148,/tags/Alistair*s*Male%20Warden%20(Dragon%20Age),r
Zevran Arainai/Mahariel,151,/tags/Zevran%20Arainai*s*Mahariel,r
Zevran Arainai/Male Tabris,160,/tags/Zevran%20Arainai*s*Male%20Tabris,r
Anders (Dragon Age),10481,/tags/Anders%20(Dragon%20Age),c
Zevran Arainai/Male Surana,257,/tags/Zevran%20Arainai*s*Male%20Surana,r
Justice (Dragon Age),1482,/tags/Justice%20(Dragon%20Age),c
Anders/Nathaniel Howe,357,/tags/Anders*s*Nathaniel%20Howe,r
Zevran Arainai/Female Cousland,155,/tags/Zevran%20Arainai*s*Female%20Cousland,r
Zevran Arainai/Surana,44,/tags/Zevran%20Arainai*s*Surana,r
Zevran Arainai/Male Cousland,200,/tags/Zevran%20Arainai*s*Male%20Cousland,r
Zevran Arainai/Female Tabris,438,/tags/Zevran%20Arainai*s*Female%20Tabris,r
Zevran Arainai/Nathaniel Howe,8,/tags/Zevran%20Arainai*s*Nathaniel%20Howe,r
Teagan Guerrin,539,/tags/Teagan%20Guerrin,c
Teagan Guerrin/Leliana,1,/tags/Teagan%20Guerrin*s*Leliana,r
Cousland/Nathaniel Howe,51,/tags/Cousland*s*Nathaniel%20Howe,r
Zevran Arainai/Female Surana,259,/tags/Zevran%20Arainai*s*Female%20Surana,r
Anders/Zevran Arainai,23,/tags/Anders*s*Zevran%20Arainai,r
Hawke (Dragon Age),3926,/tags/Hawke%20(Dragon%20Age),c
Zevran Arainai/Female Mahariel,331,/tags/Zevran%20Arainai*s*Female%20Mahariel,r
Alistair/Anders/Zevran Arainai/Nathaniel Howe,0,/tags/Alistair*s*Anders*s*Zevran%20Arainai*s*Nathaniel%20Howe,r
Female Cousland/Teagan Guerrin,46,/tags/Female%20Cousland*s*Teagan%20Guerrin,r
Varric Tethras,15900,/tags/Varric%20Tethras,c
Male Hawke (Dragon Age),2171,/tags/Male%20Hawke%20(Dragon%20Age),c
Sebastian Vael,2460,/tags/Sebastian%20Vael,c
Leandra Hawke,1259,/tags/Leandra%20Hawke,c
Fenris (Dragon Age),10562,/tags/Fenris%20(Dragon%20Age),c
Aveline Vallen,3126,/tags/Aveline%20Vallen,c
Alistair/Warden (Dragon Age),1298,/tags/Alistair*s*Warden%20(Dragon%20Age),r
Anders/Warden (Dragon Age),20,/tags/Anders*s*Warden%20(Dragon%20Age),r
Leliana/Warden (Dragon Age),223,/tags/Leliana*s*Warden%20(Dragon%20Age),r
Bethany Hawke,2563,/tags/Bethany%20Hawke,c
Carver Hawke,3164,/tags/Carver%20Hawke,c
Merrill (Dragon Age),4737,/tags/Merrill%20(Dragon%20Age),c
Isabela (Dragon Age),5791,/tags/Isabela%20(Dragon%20Age),c
Cassandra Pentaghast,10784,/tags/Cassandra%20Pentaghast,c
Fenris/Sebastian Vael,131,/tags/Fenris*s*Sebastian%20Vael,r
Malcolm Hawke,404,/tags/Malcolm%20Hawke,c
Bodahn Feddic,362,/tags/Bodahn%20Feddic,c
Petrice (Dragon Age),32,/tags/Petrice%20(Dragon%20Age),c
Saemus Dumar,124,/tags/Saemus%20Dumar,c
Gamlen Amell,290,/tags/Gamlen%20Amell,c
Fade Shenanigans,82,/tags/Fade%20Shenanigans,f
Meredith Stannard,666,/tags/Meredith%20Stannard,c
Karl Thekla,395,/tags/Karl%20Thekla,c
Anders/Sebastian Vael,114,/tags/Anders*s*Sebastian%20Vael,r
Hawke/Varric Tethras,333,/tags/Hawke*s*Varric%20Tethras,r
Female Hawke/Varric Tethras,918,/tags/Female%20Hawke*s*Varric%20Tethras,r
Donnic Hendyr,414,/tags/Donnic%20Hendyr,c
Orsino (Dragon Age),373,/tags/Orsino%20(Dragon%20Age),c
Hadriana (Dragon Age),50,/tags/Hadriana%20(Dragon%20Age),c
Vengeance (Dragon Age),44,/tags/Vengeance%20(Dragon%20Age),c
Carver Hawke/Nathaniel Howe,32,/tags/Carver%20Hawke*s*Nathaniel%20Howe,r
Female Hawke & Sebastian Vael,19,/tags/Female%20Hawke%20*a*%20Sebastian%20Vael,r
Carver Hawke/Female Hawke,49,/tags/Carver%20Hawke*s*Female%20Hawke,r
Alistair/Zevran Arainai/Female Cousland,9,/tags/Alistair*s*Zevran%20Arainai*s*Female%20Cousland,r
Female Cousland/Carver Hawke,19,/tags/Female%20Cousland*s*Carver%20Hawke,r
Fenris/Carver Hawke,75,/tags/Fenris*s*Carver%20Hawke,r
Hawke & Sebastian Vael,6,/tags/Hawke%20*a*%20Sebastian%20Vael,r
Isabela/Sebastian Vael,31,/tags/Isabela*s*Sebastian%20Vael,r
Male Hawke/Varric Tethras,149,/tags/Male%20Hawke*s*Varric%20Tethras,r
Bianca (Dragon Age),56,/tags/Bianca%20(Dragon%20Age),c
Female Hawke/Meredith Stannard,42,/tags/Female%20Hawke*s*Meredith%20Stannard,r
