tag,count,href,category
Cinna (Hunger Games),577,/tags/Cinna%20(Hunger%20Games),c
Katniss Everdeen,9603,/tags/Katniss%20Everdeen,c
Peeta Mellark,8442,/tags/Peeta%20Mellark,c
Katniss Everdeen/Gale Hawthorne,665,/tags/Katniss%20Everdeen*s*Gale%20Hawthorne,r
Gale Hawthorne,3176,/tags/Gale%20Hawthorne,c
Katniss Everdeen/Peeta Mellark,8660,/tags/Katniss%20Everdeen*s*Peeta%20Mellark,r
Haymitch Abernathy/Cinna,6,/tags/Haymitch%20Abernathy*s*Cinna,r
Haymitch Abernathy,4951,/tags/Haymitch%20Abernathy,c
Finnick Odair,3729,/tags/Finnick%20Odair,c
Cinna/Finnick Odair,32,/tags/Cinna*s*Finnick%20Odair,r
Maysilee Donner,126,/tags/Maysilee%20Donner,c
Annie Cresta,2204,/tags/Annie%20Cresta,c
Katniss Everdeen/Finnick Odair,207,/tags/Katniss%20Everdeen*s*Finnick%20Odair,r
Gale Hawthorne/Madge Undersee,626,/tags/Gale%20Hawthorne*s*Madge%20Undersee,r
Madge Undersee,1284,/tags/Madge%20Undersee,c
Primrose Everdeen,2412,/tags/Primrose%20Everdeen,c
Annie Cresta/Finnick Odair,1598,/tags/Annie%20Cresta*s*Finnick%20Odair,r
Johanna Mason/Finnick Odair,138,/tags/Johanna%20Mason*s*Finnick%20Odair,r
Johanna Mason,2883,/tags/Johanna%20Mason,c
Haymitch Abernathy/Mrs. Everdeen,7,/tags/Haymitch%20Abernathy*s*Mrs*d*%20Everdeen,r
Haymitch Abernathy/Katniss Everdeen,201,/tags/Haymitch%20Abernathy*s*Katniss%20Everdeen,r
Lavinia (Hunger Games),47,/tags/Lavinia%20(Hunger%20Games),c
Boggs (Hunger Games),121,/tags/Boggs%20(Hunger%20Games),c
Bonnie (Hunger Games),7,/tags/Bonnie%20(Hunger%20Games),c
Clove (Hunger Games),752,/tags/Clove%20(Hunger%20Games),c
Effie Trinket,2498,/tags/Effie%20Trinket,c
Alma Coin,428,/tags/Alma%20Coin,c
Enobaria (Hunger Games),349,/tags/Enobaria%20(Hunger%20Games),c
Foxface (Hunger Games),259,/tags/Foxface%20(Hunger%20Games),c
Glimmer (Hunger Games),439,/tags/Glimmer%20(Hunger%20Games),c
Plutarch Heavensbee,518,/tags/Plutarch%20Heavensbee,c
Rue (Hunger Games),611,/tags/Rue%20(Hunger%20Games),c
Thresh (Hunger Games),370,/tags/Thresh%20(Hunger%20Games),c
Twill (Hunger Games),8,/tags/Twill%20(Hunger%20Games),c
Wiress (Hunger Games),255,/tags/Wiress%20(Hunger%20Games),c
Darius (Hunger Games),165,/tags/Darius%20(Hunger%20Games),c
Coriolanus Snow,1244,/tags/Coriolanus%20Snow,c
Rory Hawthorne,301,/tags/Rory%20Hawthorne,c
Primrose Everdeen/Rory Hawthorne,102,/tags/Primrose%20Everdeen*s*Rory%20Hawthorne,r
Caesar Flickerman,528,/tags/Caesar%20Flickerman,c
Mags (Hunger Games),750,/tags/Mags%20(Hunger%20Games),c
Chaff (Hunger Games),289,/tags/Chaff%20(Hunger%20Games),c
Gale Hawthorne/Johanna Mason,205,/tags/Gale%20Hawthorne*s*Johanna%20Mason,r
Katniss Everdeen/Madge Undersee,65,/tags/Katniss%20Everdeen*s*Madge%20Undersee,r
Portia (Hunger Games),201,/tags/Portia%20(Hunger%20Games),c
Tigris (Hunger Games),59,/tags/Tigris%20(Hunger%20Games),c
Brutus (Hunger Games),306,/tags/Brutus%20(Hunger%20Games),c
Gloss (Hunger Games),335,/tags/Gloss%20(Hunger%20Games),c
Gale Hawthorne/Coraline Jones,0,/tags/Gale%20Hawthorne*s*Coraline%20Jones,r
Haymitch Abernathy/Chaff,8,/tags/Haymitch%20Abernathy*s*Chaff,r
Alma Coin/Plutarch Heavensbee,20,/tags/Alma%20Coin*s*Plutarch%20Heavensbee,r
Delly Cartwright/Peeta Mellark,51,/tags/Delly%20Cartwright*s*Peeta%20Mellark,r
Delly Cartwright,671,/tags/Delly%20Cartwright,c
Seeder (Hunger Games),135,/tags/Seeder%20(Hunger%20Games),c
Cinna/Katniss Everdeen,27,/tags/Cinna*s*Katniss%20Everdeen,r
Cecelia (Hunger Games),100,/tags/Cecelia%20(Hunger%20Games),c
Cashmere (Hunger Games),405,/tags/Cashmere%20(Hunger%20Games),c
Venia (Hunger Games),32,/tags/Venia%20(Hunger%20Games),c
Cinna/Annie Cresta,1,/tags/Cinna*s*Annie%20Cresta,r
Gale Hawthorne/Peeta Mellark,112,/tags/Gale%20Hawthorne*s*Peeta%20Mellark,r
Peeta Mellark/Finnick Odair,112,/tags/Peeta%20Mellark*s*Finnick%20Odair,r
Katniss Everdeen/Johanna Mason,491,/tags/Katniss%20Everdeen*s*Johanna%20Mason,r
Blight (Hunger Games),166,/tags/Blight%20(Hunger%20Games),c
Gale Hawthorne/Finnick Odair,19,/tags/Gale%20Hawthorne*s*Finnick%20Odair,r
Peeta Mellark/Madge Undersee,27,/tags/Peeta%20Mellark*s*Madge%20Undersee,r
Haymitch Abernathy/Effie Trinket,1527,/tags/Haymitch%20Abernathy*s*Effie%20Trinket,r
Mrs. Everdeen/Johanna Mason,0,/tags/Mrs*d*%20Everdeen*s*Johanna%20Mason,r
Annie Cresta/Johanna Mason,42,/tags/Annie%20Cresta*s*Johanna%20Mason,r
Haymitch Abernathy/Maysilee Donner,46,/tags/Haymitch%20Abernathy*s*Maysilee%20Donner,r
Cato (Hunger Games),1053,/tags/Cato%20(Hunger%20Games),c
Marvel (Hunger Games),360,/tags/Marvel%20(Hunger%20Games),c
Katniss Everdeen/Gale Hawthorne/Johanna Mason,0,/tags/Katniss%20Everdeen*s*Gale%20Hawthorne*s*Johanna%20Mason,r
Hazelle Hawthorne,226,/tags/Hazelle%20Hawthorne,c
Seneca Crane,244,/tags/Seneca%20Crane,c
Woof (Hunger Games),63,/tags/Woof%20(Hunger%20Games),c
Seneca Crane/Glimmer,3,/tags/Seneca%20Crane*s*Glimmer,r
Seneca Crane/Coriolanus Snow,1,/tags/Seneca%20Crane*s*Coriolanus%20Snow,r
Cato/Katniss Everdeen,145,/tags/Cato*s*Katniss%20Everdeen,r
Haymitch Abernathy/Johanna Mason,79,/tags/Haymitch%20Abernathy*s*Johanna%20Mason,r
Katniss Everdeen/Gale Hawthorne/Peeta Mellark,61,/tags/Katniss%20Everdeen*s*Gale%20Hawthorne*s*Peeta%20Mellark,r
Katniss Everdeen/Coriolanus Snow,9,/tags/Katniss%20Everdeen*s*Coriolanus%20Snow,r
Lyme (Hunger Games),153,/tags/Lyme%20(Hunger%20Games),c
Cinna/Seneca Crane,4,/tags/Cinna*s*Seneca%20Crane,r
Haymitch Abernathy/Peeta Mellark,10,/tags/Haymitch%20Abernathy*s*Peeta%20Mellark,r
Haymitch Abernathy/Other(s),6,/tags/Haymitch%20Abernathy*s*Other(s),r
Cato/Peeta Mellark,87,/tags/Cato*s*Peeta%20Mellark,r
