tag,count,href,category
Clint Barton,115567,/tags/Clint%20Barton,c
Bobbi Morse,5600,/tags/Bobbi%20Morse,c
Kate Bishop,8699,/tags/Kate%20Bishop,c
Clint Barton/Kate Bishop,546,/tags/Clint%20Barton*s*Kate%20Bishop,r
Clint Barton/Wanda Maximoff,121,/tags/Clint%20Barton*s*Wanda%20Maximoff,r
"James ""Bucky"" Barnes/Clint Barton/Kate Bishop",7,/tags/James%20%22Bucky%22%20Barnes*s*Clint%20Barton*s*Kate%20Bishop,r
Barney Barton,1034,/tags/Barney%20Barton,c
Clint Barton/Original Male Character(s),79,/tags/Clint%20Barton*s*Original%20Male%20Character(s),r
Jacques Duquesne,121,/tags/Jacques%20Duquesne,c
Clint Barton & Thor,127,/tags/Clint%20Barton%20*a*%20Thor,r
Clint Barton/Wade Wilson,68,/tags/Clint%20Barton*s*Wade%20Wilson,r
Clint Barton/Bobbi Morse,381,/tags/Clint%20Barton*s*Bobbi%20Morse,r
Lucky (Hawkeye),2199,/tags/Lucky%20(Hawkeye),c
Barney Barton/Clint Barton,14,/tags/Barney%20Barton*s*Clint%20Barton,r
Clint Barton/Kate Bishop/Noh-Varr,1,/tags/Clint%20Barton*s*Kate%20Bishop*s*Noh-Varr,r
Clint Barton & Wade Wilson,52,/tags/Clint%20Barton%20*a*%20Wade%20Wilson,r
Clint Barton & Kate Bishop,1165,/tags/Clint%20Barton%20*a*%20Kate%20Bishop,r
Clint Barton/Loki/Tony Stark,13,/tags/Clint%20Barton*s*Loki*s*Tony%20Stark,r
Hawkeye: Blindspot,1,/tags/Hawkeye:%20Blindspot,f
Clint Barton & Bobbi Morse,69,/tags/Clint%20Barton%20*a*%20Bobbi%20Morse,r
Kate Bishop & Phil Coulson,9,/tags/Kate%20Bishop%20*a*%20Phil%20Coulson,r
Kate Bishop/Original Male Character(s),6,/tags/Kate%20Bishop*s*Original%20Male%20Character(s),r
Clint Barton/Kate Bishop/Original Male Character(s),0,/tags/Clint%20Barton*s*Kate%20Bishop*s*Original%20Male%20Character(s),r
