tag,count,href,category
Maria Robotnik,728,/tags/Maria%20Robotnik,c
Shadow the Hedgehog,7571,/tags/Shadow%20the%20Hedgehog,c
Sonic the Hedgehog,12697,/tags/Sonic%20the%20Hedgehog,c
Amy Rose/Sonic the Hedgehog,1212,/tags/Amy%20Rose*s*Sonic%20the%20Hedgehog,r
Silver the Hedgehog,2298,/tags/Silver%20the%20Hedgehog,c
Amy Rose/Shadow the Hedgehog,657,/tags/Amy%20Rose*s*Shadow%20the%20Hedgehog,r
Jet the Hawk,291,/tags/Jet%20the%20Hawk,c
Cream the Rabbit,1341,/tags/Cream%20the%20Rabbit,c
Vanilla the Rabbit,634,/tags/Vanilla%20the%20Rabbit,c
Rouge the Bat,3156,/tags/Rouge%20the%20Bat,c
Knuckles the Echidna/Rouge the Bat,506,/tags/Knuckles%20the%20Echidna*s*Rouge%20the%20Bat,r
Knuckles the Echidna,4536,/tags/Knuckles%20the%20Echidna,c
Vector the Crocodile,829,/tags/Vector%20the%20Crocodile,c
Espio the Chameleon,940,/tags/Espio%20the%20Chameleon,c
Espio the Chameleon/Vector the Crocodile,63,/tags/Espio%20the%20Chameleon*s*Vector%20the%20Crocodile,r
E-123 Omega,832,/tags/E-123%20Omega,c
Metal Sonic,998,/tags/Metal%20Sonic,c
"Miles ""Tails"" Prower",6287,/tags/Miles%20%22Tails%22%20Prower,c
Charmy Bee,680,/tags/Charmy%20Bee,c
Wave the Swallow,229,/tags/Wave%20the%20Swallow,c
Storm the Albatross,141,/tags/Storm%20the%20Albatross,c
Big the Cat,254,/tags/Big%20the%20Cat,c
E-102 Gamma,45,/tags/E-102%20Gamma,c
Bark the Polar Bear,78,/tags/Bark%20the%20Polar%20Bear,c
Bean the Dynamite,83,/tags/Bean%20the%20Dynamite,c
Blaze the Cat,1434,/tags/Blaze%20the%20Cat,c
Bunnie Rabbot,274,/tags/Bunnie%20Rabbot,c
Sally Acorn,723,/tags/Sally%20Acorn,c
G.U.N. Soldier,15,/tags/G*d*U*d*N*d*%20Soldier,c
Shireikan | G.U.N. Commander,61,/tags/Shireikan%20%7C%20G*d*U*d*N*d*%20Commander,c
Froggy (Sonic the Hedgehog),34,/tags/Froggy%20(Sonic%20the%20Hedgehog),c
Dark Sonic,95,/tags/Dark%20Sonic,c
Gerald Robotnik,277,/tags/Gerald%20Robotnik,c
Mighty the Armadillo,292,/tags/Mighty%20the%20Armadillo,c
Ray the Flying Squirrel,170,/tags/Ray%20the%20Flying%20Squirrel,c
Blaze the Cat/Silver the Hedgehog,329,/tags/Blaze%20the%20Cat*s*Silver%20the%20Hedgehog,r
Rouge the Bat/Shadow the Hedgehog,183,/tags/Rouge%20the%20Bat*s*Shadow%20the%20Hedgehog,r
Shadow the Hedgehog/Sonic the Hedgehog,3638,/tags/Shadow%20the%20Hedgehog*s*Sonic%20the%20Hedgehog,r
Geoffrey St. John,27,/tags/Geoffrey%20St*d*%20John,c
Sally Acorn/Sonic the Hedgehog,234,/tags/Sally%20Acorn*s*Sonic%20the%20Hedgehog,r
Antoine D'Coolette,220,/tags/Antoine%20D'Coolette,c
Snively Robotnik,81,/tags/Snively%20Robotnik,c
Princess Elise (Sonic the Hedgehog),121,/tags/Princess%20Elise%20(Sonic%20the%20Hedgehog),c
Metal Overlord,4,/tags/Metal%20Overlord,c
Scourge the Hedgehog,572,/tags/Scourge%20the%20Hedgehog,c
Manic the Hedgehog,357,/tags/Manic%20the%20Hedgehog,c
Fiona Fox,196,/tags/Fiona%20Fox,c
Honey the Cat,98,/tags/Honey%20the%20Cat,c
Rotor Walrus,174,/tags/Rotor%20Walrus,c
Merlin Prower,4,/tags/Merlin%20Prower,c
"Cream the Rabbit/Miles ""Tails"" Prower",154,/tags/Cream%20the%20Rabbit*s*Miles%20%22Tails%22%20Prower,r
Chaos Emeralds,218,/tags/Chaos%20Emeralds,f
Chris Thorndyke,140,/tags/Chris%20Thorndyke,c
Boomer Walrus,6,/tags/Boomer%20Walrus,c
Forty Fathom Freedom Fighters,0,/tags/Forty%20Fathom%20Freedom%20Fighters,c
Maximillian Acorn,38,/tags/Maximillian%20Acorn,c
"Fiona Fox/Miles ""Tails"" Prower",52,/tags/Fiona%20Fox*s*Miles%20%22Tails%22%20Prower,r
Amy Rose/Metal Sonic,82,/tags/Amy%20Rose*s*Metal%20Sonic,r
Princess Elise/Sonic the Hedgehog,20,/tags/Princess%20Elise*s*Sonic%20the%20Hedgehog,r
Manic the Hedgehog/Sonic the Hedgehog,4,/tags/Manic%20the%20Hedgehog*s*Sonic%20the%20Hedgehog,r
Scourge the Hedgehog/Sonic the Hedgehog,63,/tags/Scourge%20the%20Hedgehog*s*Sonic%20the%20Hedgehog,r
"Miles ""Tails"" Prower/Wave the Swallow",9,/tags/Miles%20%22Tails%22%20Prower*s*Wave%20the%20Swallow,r
Doctor Finitevus,32,/tags/Doctor%20Finitevus,c
Doctor Finitevus/Knuckles the Echidna,0,/tags/Doctor%20Finitevus*s*Knuckles%20the%20Echidna,r
Amy Rose/Silver the Hedgehog,39,/tags/Amy%20Rose*s*Silver%20the%20Hedgehog,r
Blaze the Cat/Knuckles the Echidna,1,/tags/Blaze%20the%20Cat*s*Knuckles%20the%20Echidna,r
Chip | Light Gaia,83,/tags/Chip%20%7C%20Light%20Gaia,c
Knuckles the Echidna/Sonic the Hedgehog,479,/tags/Knuckles%20the%20Echidna*s*Sonic%20the%20Hedgehog,r
E-123 Omega/Shadow The Hedgehog,6,/tags/E-123%20Omega*s*Shadow%20The%20Hedgehog,r
Blaze the Cat/Sonic the Hedgehog,110,/tags/Blaze%20the%20Cat*s*Sonic%20the%20Hedgehog,r
Maria Robotnik/Shadow the Hedgehog,78,/tags/Maria%20Robotnik*s*Shadow%20the%20Hedgehog,r
Maria Robotnik/Sonic the Hedgehog,2,/tags/Maria%20Robotnik*s*Sonic%20the%20Hedgehog,r
"Miles ""Tails"" Prower/Sonic the Hedgehog",135,/tags/Miles%20%22Tails%22%20Prower*s*Sonic%20the%20Hedgehog,r
Fang the Sniper | Nack the Weasel,104,/tags/Fang%20the%20Sniper%20%7C%20Nack%20the%20Weasel,c
Guardian Units of Nations | G.U.N.,162,/tags/Guardian%20Units%20of%20Nations%20%7C%20G*d*U*d*N*d*,c
Sonic Storybook Series,6,/tags/Sonic%20Storybook%20Series,f
Dr. Eggman | Dr. Robotnik,4035,/tags/Dr*d*%20Eggman%20%7C%20Dr*d*%20Robotnik,c
Hope Kintobor,33,/tags/Hope%20Kintobor,c
Mephiles the Dark,378,/tags/Mephiles%20the%20Dark,c
Hope Kintobor/Shadow the Hedgehog,0,/tags/Hope%20Kintobor*s*Shadow%20the%20Hedgehog,r
Sonic the Hedgehog & Other(s),14,/tags/Sonic%20the%20Hedgehog%20*a*%20Other(s),r
Espio the Chameleon/Knuckles the Echidna,12,/tags/Espio%20the%20Chameleon*s*Knuckles%20the%20Echidna,r
Orbot (Sonic the Hedgehog),290,/tags/Orbot%20(Sonic%20the%20Hedgehog),c
Shadow Android(s) (Sonic the Hedgehog),45,/tags/Shadow%20Android(s)%20(Sonic%20the%20Hedgehog),c
Cream the Rabbit & Dr. Eggman,0,/tags/Cream%20the%20Rabbit%20*a*%20Dr*d*%20Eggman,r
Rouge the Bat & Shadow the Hedgehog,425,/tags/Rouge%20the%20Bat%20*a*%20Shadow%20the%20Hedgehog,r
Sonia the Hedgehog,315,/tags/Sonia%20the%20Hedgehog,c
"Miles ""Tails"" Prower & Sonic the Hedgehog",1483,/tags/Miles%20%22Tails%22%20Prower%20*a*%20Sonic%20the%20Hedgehog,r
Manic the Hedgehog/Manic the Hedgehog,0,/tags/Manic%20the%20Hedgehog*s*Manic%20the%20Hedgehog,r
Sonia the Hedgehog/Sonia the Hedgehog,0,/tags/Sonia%20the%20Hedgehog*s*Sonia%20the%20Hedgehog,r
Manic the Hedgehog/Manic the Hedgehog/Sonia the Hedgehog/Sonia the Hedgehog,0,/tags/Manic%20the%20Hedgehog*s*Manic%20the%20Hedgehog*s*Sonia%20the%20Hedgehog*s*Sonia%20the%20Hedgehog,r
Sonic the Hedgehog/Sonic the Hedgehog,5,/tags/Sonic%20the%20Hedgehog*s*Sonic%20the%20Hedgehog,r
Manic the Hedgehog/Manic the Hedgehog/Sonic the Hedgehog/Sonic the Hedgehog,0,/tags/Manic%20the%20Hedgehog*s*Manic%20the%20Hedgehog*s*Sonic%20the%20Hedgehog*s*Sonic%20the%20Hedgehog,r
Sonia the Hedgehog/Sonia the Hedgehog/Sonic the Hedgehog/Sonic the Hedgehog,0,/tags/Sonia%20the%20Hedgehog*s*Sonia%20the%20Hedgehog*s*Sonic%20the%20Hedgehog*s*Sonic%20the%20Hedgehog,r
Sonic the Hedgehog & Original Female Character(s),11,/tags/Sonic%20the%20Hedgehog%20*a*%20Original%20Female%20Character(s),r
Erazor Djinn,9,/tags/Erazor%20Djinn,c
Shahra (Sonic the Hedgehog),14,/tags/Shahra%20(Sonic%20the%20Hedgehog),c
Brotherhood of Guardians,10,/tags/Brotherhood%20of%20Guardians,c
Johnny Lightfoot,29,/tags/Johnny%20Lightfoot,c
Porker Lewis,23,/tags/Porker%20Lewis,c
Dr. Ovi Kintobor,11,/tags/Dr*d*%20Ovi%20Kintobor,c
Dexter (Sonic Chronicles),7,/tags/Dexter%20(Sonic%20Chronicles),c
Maria Robotnik & Shadow the Hedgehog,271,/tags/Maria%20Robotnik%20*a*%20Shadow%20the%20Hedgehog,r
Lupe Wolf,21,/tags/Lupe%20Wolf,c
Zeena (Sonic the Hedgehog),27,/tags/Zeena%20(Sonic%20the%20Hedgehog),c
Community: TrueBlueAsylum,1,/tags/Community:%20TrueBlueAsylum,f
Amy Rose/Cream the Rabbit,6,/tags/Amy%20Rose*s*Cream%20the%20Rabbit,r
Cream the Rabbit/Rouge the Bat,1,/tags/Cream%20the%20Rabbit*s*Rouge%20the%20Bat,r
Metal Sonic/Shadow the Hedgehog,21,/tags/Metal%20Sonic*s*Shadow%20the%20Hedgehog,r
Amy Rose/Rouge the Bat,42,/tags/Amy%20Rose*s*Rouge%20the%20Bat,r
Challenge: TrueBlueAsylum Character of the Month,1,/tags/Challenge:%20TrueBlueAsylum%20Character%20of%20the%20Month,f
Tikal the Echidna,253,/tags/Tikal%20the%20Echidna,c
Shadow the Hedgehog/Tikal the Echidna,17,/tags/Shadow%20the%20Hedgehog*s*Tikal%20the%20Echidna,r
Naegi Makoto/Sonic the Hedgehog/Sam Winchester/Other(s),0,/tags/Naegi%20Makoto*s*Sonic%20the%20Hedgehog*s*Sam%20Winchester*s*Other(s),r
Super Sonic,62,/tags/Super%20Sonic,c
Cosmo the Seedrian,189,/tags/Cosmo%20the%20Seedrian,c
Sonic the Hedgehog/Original Character(s),49,/tags/Sonic%20the%20Hedgehog*s*Original%20Character(s),r
Shade the Echidna,64,/tags/Shade%20the%20Echidna,c
Neo Metal Sonic,61,/tags/Neo%20Metal%20Sonic,c
Iblis (Sonic the Hedgehog),66,/tags/Iblis%20(Sonic%20the%20Hedgehog),c
Pir'Oth Ix,3,/tags/Pir'Oth%20Ix,c
Sleet (Sonic Underground),30,/tags/Sleet%20(Sonic%20Underground),c
Sonia the Hedgehog/Original Character(s),1,/tags/Sonia%20the%20Hedgehog*s*Original%20Character(s),r
Vanilla the Rabbit/Vector the Crocodile,78,/tags/Vanilla%20the%20Rabbit*s*Vector%20the%20Crocodile,r
Metal Knuckles,32,/tags/Metal%20Knuckles,c
Dr. Eggman Nega,44,/tags/Dr*d*%20Eggman%20Nega,c
Mephiles the Dark/Shadow the Hedgehog,22,/tags/Mephiles%20the%20Dark*s*Shadow%20the%20Hedgehog,r
Espio the Chameleon/Shadow the Hedgehog,11,/tags/Espio%20the%20Chameleon*s*Shadow%20the%20Hedgehog,r
Espio the Chameleon/Silver the Hedgehog,111,/tags/Espio%20the%20Chameleon*s*Silver%20the%20Hedgehog,r
Marine the Raccoon,155,/tags/Marine%20the%20Raccoon,c
Mario (Nintendo) & Sonic the Hedgehog,51,/tags/Mario%20(Nintendo)%20*a*%20Sonic%20the%20Hedgehog,r
Nestor the Wise,0,/tags/Nestor%20the%20Wise,c
Monkey Khan,11,/tags/Monkey%20Khan,c
