tag,count,href,category
Obi-Wan Kenobi,52293,/tags/Obi-Wan%20Kenobi,c
Han Solo,18262,/tags/Han%20Solo,c
Lando Calrissian,3063,/tags/Lando%20Calrissian,c
Boba Fett,6672,/tags/Boba%20Fett,c
Anakin Skywalker,34859,/tags/Anakin%20Skywalker,c
Qui-Gon Jinn/Obi-Wan Kenobi,4760,/tags/Qui-Gon%20Jinn*s*Obi-Wan%20Kenobi,r
Lando Calrissian/Han Solo,411,/tags/Lando%20Calrissian*s*Han%20Solo,r
Obi-Wan Kenobi/Darth Maul,653,/tags/Obi-Wan%20Kenobi*s*Darth%20Maul,r
Darth Sidious,593,/tags/Darth%20Sidious,c
Darth Vader,5048,/tags/Darth%20Vader,c
Bail Organa,3795,/tags/Bail%20Organa,c
Breha Organa,1207,/tags/Breha%20Organa,c
Bail Organa/Breha Organa,422,/tags/Bail%20Organa*s*Breha%20Organa,r
Luke Skywalker,29870,/tags/Luke%20Skywalker,c
Leia Organa,32176,/tags/Leia%20Organa,c
Shmi Skywalker,2605,/tags/Shmi%20Skywalker,c
Obi-Wan Kenobi/Anakin Skywalker,12787,/tags/Obi-Wan%20Kenobi*s*Anakin%20Skywalker,r
Luke Skywalker/Han Solo,2023,/tags/Luke%20Skywalker*s*Han%20Solo,r
Padmé Amidala/Anakin Skywalker,9697,/tags/Padm%C3%A9%20Amidala*s*Anakin%20Skywalker,r
Obi-Wan Kenobi/Quinlan Vos,546,/tags/Obi-Wan%20Kenobi*s*Quinlan%20Vos,r
Obi-Wan Kenobi/Garen Muln,15,/tags/Obi-Wan%20Kenobi*s*Garen%20Muln,r
Obi-Wan Kenobi/Siri Tachi,168,/tags/Obi-Wan%20Kenobi*s*Siri%20Tachi,r
Obi-Wan Kenobi/Bail Organa,190,/tags/Obi-Wan%20Kenobi*s*Bail%20Organa,r
Carlist Rieekan,185,/tags/Carlist%20Rieekan,c
Leia Organa/Han Solo,6717,/tags/Leia%20Organa*s*Han%20Solo,r
Crix Madine,103,/tags/Crix%20Madine,c
Crix Madine/Han Solo,1,/tags/Crix%20Madine*s*Han%20Solo,r
Leia Organa/Luke Skywalker/Han Solo,307,/tags/Leia%20Organa*s*Luke%20Skywalker*s*Han%20Solo,r
Leia Organa/Luke Skywalker,382,/tags/Leia%20Organa*s*Luke%20Skywalker,r
Mara Jade/Luke Skywalker,1363,/tags/Mara%20Jade*s*Luke%20Skywalker,r
Bruck Chun/Obi-Wan Kenobi,37,/tags/Bruck%20Chun*s*Obi-Wan%20Kenobi,r
Winter Celchu/Leia Organa,9,/tags/Winter%20Celchu*s*Leia%20Organa,r
Mon Mothma,1804,/tags/Mon%20Mothma,c
Raymus Antilles,29,/tags/Raymus%20Antilles,c
Padmé Amidala/Obi-Wan Kenobi,912,/tags/Padm%C3%A9%20Amidala*s*Obi-Wan%20Kenobi,r
Owen Lars,1332,/tags/Owen%20Lars,c
Beru Whitesun,1142,/tags/Beru%20Whitesun,c
Obi-Wan Kenobi/Mace Windu,123,/tags/Obi-Wan%20Kenobi*s*Mace%20Windu,r
Wedge Antilles,2141,/tags/Wedge%20Antilles,c
Obi-Wan Kenobi/Xanatos,32,/tags/Obi-Wan%20Kenobi*s*Xanatos,r
The Force/Luke Skywalker,2,/tags/The%20Force*s*Luke%20Skywalker,r
Firmus Piett,1167,/tags/Firmus%20Piett,c
Wedge Antilles/Luke Skywalker,329,/tags/Wedge%20Antilles*s*Luke%20Skywalker,r
Obi-Wan Kenobi/Duncan MacLeod,1,/tags/Obi-Wan%20Kenobi*s*Duncan%20MacLeod,r
Padmé Amidala/Obi-Wan Kenobi/Anakin Skywalker,793,/tags/Padm%C3%A9%20Amidala*s*Obi-Wan%20Kenobi*s*Anakin%20Skywalker,r
Daniel Jackson/Obi-Wan Kenobi,0,/tags/Daniel%20Jackson*s*Obi-Wan%20Kenobi,r
Jim Ellison/Obi-Wan Kenobi/Blair Sandburg,0,/tags/Jim%20Ellison*s*Obi-Wan%20Kenobi*s*Blair%20Sandburg,r
Obi-Wan Kenobi/Severus Snape,0,/tags/Obi-Wan%20Kenobi*s*Severus%20Snape,r
Obi-Wan Kenobi/Mon Mothma,10,/tags/Obi-Wan%20Kenobi*s*Mon%20Mothma,r
Obi-Wan Kenobi/Satine Kryze,2350,/tags/Obi-Wan%20Kenobi*s*Satine%20Kryze,r
Jango Fett/Obi-Wan Kenobi,1995,/tags/Jango%20Fett*s*Obi-Wan%20Kenobi,r
Qui-Gon Jinn/Obi-Wan Kenobi/Mace Windu,7,/tags/Qui-Gon%20Jinn*s*Obi-Wan%20Kenobi*s*Mace%20Windu,r
Tom Riddle/Anakin Skywalker,0,/tags/Tom%20Riddle*s*Anakin%20Skywalker,r
Wes Janson,802,/tags/Wes%20Janson,c
Ponda Baba,4,/tags/Ponda%20Baba,c
Obi-Wan Kenobi/Asajj Ventress,199,/tags/Obi-Wan%20Kenobi*s*Asajj%20Ventress,r
