tag,count,href,category
Cloud Strife,14132,/tags/Cloud%20Strife,c
Sora (Kingdom Hearts),9840,/tags/Sora%20(Kingdom%20Hearts),c
Link (Legend of Zelda),20616,/tags/Link%20(Legend%20of%20Zelda),c
Solid Snake,1695,/tags/Solid%20Snake,c
Samus Aran,1378,/tags/Samus%20Aran,c
Richter Belmont,309,/tags/Richter%20Belmont,c
Ike (Fire Emblem),1525,/tags/Ike%20(Fire%20Emblem),c
Fox McCloud,743,/tags/Fox%20McCloud,c
Nana (Ice Climber),113,/tags/Nana%20(Ice%20Climber),c
Zelda (Legend of Zelda),12386,/tags/Zelda%20(Legend%20of%20Zelda),c
Olimar (Pikmin),202,/tags/Olimar%20(Pikmin),c
Sonic the Hedgehog,12703,/tags/Sonic%20the%20Hedgehog,c
Meta Knight,1619,/tags/Meta%20Knight,c
Sheik (Legend of Zelda),1011,/tags/Sheik%20(Legend%20of%20Zelda),c
Kirby (Kirby),1701,/tags/Kirby%20(Kirby),c
Jeff Andonuts & Ness,7,/tags/Jeff%20Andonuts%20*a*%20Ness,r
Donkey Kong,490,/tags/Donkey%20Kong,c
Diddy Kong,174,/tags/Diddy%20Kong,c
Cloud Strife/Other(s),23,/tags/Cloud%20Strife*s*Other(s),r
Purin | Jigglypuff,202,/tags/Purin%20%7C%20Jigglypuff,c
Roy (Fire Emblem),609,/tags/Roy%20(Fire%20Emblem),c
Mishima Kazuya,255,/tags/Mishima%20Kazuya,c
Mario (Nintendo),3888,/tags/Mario%20(Nintendo),c
Red (Pokemon),2912,/tags/Red%20(Pokemon),c
Falco Lombardi,487,/tags/Falco%20Lombardi,c
Wolf O'Donnell,424,/tags/Wolf%20O'Donnell,c
Luigi (Nintendo),3692,/tags/Luigi%20(Nintendo),c
Yoshi (Nintendo),393,/tags/Yoshi%20(Nintendo),c
King Dedede,1126,/tags/King%20Dedede,c
Marth (Fire Emblem),1012,/tags/Marth%20(Fire%20Emblem),c
Ness (Mother 2),809,/tags/Ness%20(Mother%202),c
Kazooie (Banjo-Kazooie Series),89,/tags/Kazooie%20(Banjo-Kazooie%20Series),c
Banjo (Banjo-Kazooie Series),110,/tags/Banjo%20(Banjo-Kazooie%20Series),c
Cloud Strife/Cloud Strife,8,/tags/Cloud%20Strife*s*Cloud%20Strife,r
Lucas (Mother 3),855,/tags/Lucas%20(Mother%203),c
Master Hand,362,/tags/Master%20Hand,c
Dark Link/Sheik,13,/tags/Dark%20Link*s*Sheik,r
Sanaki Kirsch Altina/Ike,0,/tags/Sanaki%20Kirsch%20Altina*s*Ike,r
Fox McCloud/Wolf O'Donnell,171,/tags/Fox%20McCloud*s*Wolf%20O'Donnell,r
Pit (Kid Icarus),1131,/tags/Pit%20(Kid%20Icarus),c
Ashley (WarioWare)/Lucas (Mother 3),1,/tags/Ashley%20(WarioWare)*s*Lucas%20(Mother%203),r
Ashley (WarioWare),73,/tags/Ashley%20(WarioWare),c
Ridley (Metroid),270,/tags/Ridley%20(Metroid),c
Popo (Ice Climber),105,/tags/Popo%20(Ice%20Climber),c
Crazy Hand,169,/tags/Crazy%20Hand,c
Terry Bogard,218,/tags/Terry%20Bogard,c
Palutena (Kid Icarus),843,/tags/Palutena%20(Kid%20Icarus),c
Ludwig von Koopa,229,/tags/Ludwig%20von%20Koopa,c
Wendy O. Koopa,225,/tags/Wendy%20O*d*%20Koopa,c
Morton Koopa Jr.,167,/tags/Morton%20Koopa%20Jr*d*,c
Zenigame | Squirtle,174,/tags/Zenigame%20%7C%20Squirtle,c
Toon Link (Legend of Zelda),5,/tags/Toon%20Link%20(Legend%20of%20Zelda),c
Ryu (Street Fighter),314,/tags/Ryu%20(Street%20Fighter),c
Ken Masters,207,/tags/Ken%20Masters,c
Little Mac,266,/tags/Little%20Mac,c
Chun-Li/Ryu (Street Fighter),27,/tags/Chun-Li*s*Ryu%20(Street%20Fighter),r
"Jerome ""Doc"" Louis",57,/tags/Jerome%20%22Doc%22%20Louis,c
Lucina (Fire Emblem),2925,/tags/Lucina%20(Fire%20Emblem),c
Chrom (Fire Emblem),3685,/tags/Chrom%20(Fire%20Emblem),c
Lizardon | Charizard,364,/tags/Lizardon%20%7C%20Charizard,c
Alph (Pikmin),102,/tags/Alph%20(Pikmin),c
King Dedede/Meta Knight,236,/tags/King%20Dedede*s*Meta%20Knight,r
