tag,count,href,category
Kuwassu | Quaxly,23,/tags/Kuwassu%20%7C%20Quaxly,c
Koraidon (Pokemon),95,/tags/Koraidon%20(Pokemon),c
Miraidon (Pokemon),91,/tags/Miraidon%20(Pokemon),c
Grusha (Pokemon),193,/tags/Grusha%20(Pokemon),c
Omodaka | Geeta,199,/tags/Omodaka%20%7C%20Geeta,c
Meloco | Mela/Omodaka | Geeta,1,/tags/Meloco%20%7C%20Mela*s*Omodaka%20%7C%20Geeta,r
Haruto | Florian,322,/tags/Haruto%20%7C%20Florian,c
Nanjamo | Iono,110,/tags/Nanjamo%20%7C%20Iono,c
Hogator | Fuecoco,26,/tags/Hogator%20%7C%20Fuecoco,c
Aoi | Juliana/Grusha (Pokemon),11,/tags/Aoi%20%7C%20Juliana*s*Grusha%20(Pokemon),r
Aoi | Juliana & Haruto | Florian,9,/tags/Aoi%20%7C%20Juliana%20*a*%20Haruto%20%7C%20Florian,r
Aoi | Juliana/Pepper | Arven,202,/tags/Aoi%20%7C%20Juliana*s*Pepper%20%7C%20Arven,r
Pepper | Arven,876,/tags/Pepper%20%7C%20Arven,c
Paldea-chihou | Paldea Region (Pokemon),75,/tags/Paldea-chihou%20%7C%20Paldea%20Region%20(Pokemon),f
Koraidon (Pokemon)/Reader,4,/tags/Koraidon%20(Pokemon)*s*Reader,r
Haruto | Florian/Pepper | Arven,28,/tags/Haruto%20%7C%20Florian*s*Pepper%20%7C%20Arven,r
Miraidon (Pokemon)/Reader,2,/tags/Miraidon%20(Pokemon)*s*Reader,r
Boopig | Grumpig/Raifort,1,/tags/Boopig%20%7C%20Grumpig*s*Raifort,r
Kihada | Dendra,71,/tags/Kihada%20%7C%20Dendra,c
Aoi | Juliana/Nanjamo | Iono,3,/tags/Aoi%20%7C%20Juliana*s*Nanjamo%20%7C%20Iono,r
Pepper | Arven/Reader,61,/tags/Pepper%20%7C%20Arven*s*Reader,r
Haidai | Kofu,38,/tags/Haidai%20%7C%20Kofu,c
Poppy (Pokemon),89,/tags/Poppy%20(Pokemon),c
