id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,unknown_tags,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
3090755,addicted,75d30205044de10f8784adbdadb92e136f3bd71b02e275b1ab1e317fe23e7ccc,[],157+2+,25+6+2+685+336+424+,[],en,2950,2/2,0,54,0,1489,2015-01-02,N,0,C,C
3094880,turn down for what (aka the drabble collection),a0cf7095d8d1f9b7ca33cee5acb88611f13eac4cc5348fe2079c1307fe014f59,[],+,412+463+4500+1189+3065+362+,['Jeon Jeongguk | Jungkook/Kim Taehyung | V'],en,2981,3/?,21,460,48,8958,2015-01-02,E,M,U,W
3102266,of bitter chocolate and sweeter kisses,51aaddfd17d648549897f66ce6b3e4ea59555162549d9251360825d354d29396,[],67+0+1+,+,['Jeon Jeongguk | Jungkook/Park Jimin'],en,430,1/1,2,299,22,3938,2015-01-03,N,M,C,C
3103349,breathe me in like air,6d2f7c23721205ca401a4128c06c6eb4bc3ccb617081b7f3880b6a558f4bd96f,[],+,51+,"['Jeon Jeongguk | Jungkook/Park Jimin', 'Jeon Jeongguk | Jungkook', 'Park Jimin']",en,1580,1/1,5,554,40,15113,2015-01-03,E,M,U,C
3103772,Mother's Day Dilemma,ab95fed522edd121548a3c1d6e027111fe9d5171a5c524473e650a53e29e447f,"['EXO', 'bts', 'bangtan sonyeondan', 'special guest - Fandom']",+,+,"['Baekhyun | Taehyung', 'Baekhyun | Special Guest', 'Byun Baekhyun', 'Kim Taehyung', 'JDH', 'Exopromptmeme fill']",en,2353,1/1,5,155,8,2625,2015-01-03,G,UO,C,C
3112961,Whatever we want to be,fc864f6fd244c289631f4e490ce368767fd9389fe1b4551b11b4ba9c155891d1,[],32+5+3+2+,18+0+,['Park Jimin'],en,1838,1/1,3,161,17,2124,2015-01-04,N,M,N,C
3118928,Sweet Lie,4d8664e4b370815172fd8af2428018b9df78ea6a314430b51f8930db01b8b586,[],103+3+,+,[],en,372,1/1,1,43,3,617,2015-01-05,T,H,N,C
3118985,For Worse,4d8664e4b370815172fd8af2428018b9df78ea6a314430b51f8930db01b8b586,[],+,2+,"['Jeon Jeongguk | Jungkook/Park Jimin', 'Jeon Jeongguk | Jungkook', 'Park Jimin']",en,772,1/1,9,276,27,5282,2015-01-05,T,M,N,C
3119015,Forgotten,4d8664e4b370815172fd8af2428018b9df78ea6a314430b51f8930db01b8b586,[],103+3+,2+,"['Jeon Jeongguk | Jungkook/Original Character(s)', 'Jeon Jeongguk | Jungkook']",en,1344,1/1,0,25,1,893,2015-01-05,G,H,C,C
3118955,Synergy,4d8664e4b370815172fd8af2428018b9df78ea6a314430b51f8930db01b8b586,[],103+3+,+,"['Jeon Jeongguk | Jungkook/Kim Taehyung | V', 'Jeon Jeongguk | Jungkook/Original Character(s)', 'Jeon Jeongguk | Jungkook']",en,1665,2/2,0,27,2,967,2015-01-05,T,U,N,C
