id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,unknown_tags,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
348539,Immortal Angel,5020d8c23fe70d835ebf6280b8abb2e4e59639ef010b9a5ffad2ebec9af5b4dd,[],+,+,"['Hidan', 'Kakuzu']",en,657,1/1,0,12,1,233,2009-01-01,N,O,C,C
898620,Under the mistletoe,629638b81f3d4b680313900368b776663b1bb8398cd89cc92467c8a7618b4a5a,[],897+4+19+50+34+47+0+2+5+,457+1142+124+191+,[],en,2934,1/1,4,237,38,6955,2009-01-01,E,HM,N,C
835078,Just This Once,f40423aae3ff3b61a964c88427fb3bf9cdfdc21f3fd893150a003d8c4734273a,[],331+2+23+,23+19+236+2678+1132+3585+98+1585+695+495+1595+2221+5433+,[],en,2587,1/1,0,6,0,429,2009-01-02,T,H,V,C
27272002,Who’s My Daddy???,6c05449b62f632cdb4d01d42f83f1076701eae83b8a0f37d11835b099c3dd982,[],91+4+2687+0+16+2+3+15+551+1181+,78+,[],en,10931,8/8,1,126,14,3174,2009-01-04,E,M,CVDR,C
287631,(Untitled),06caefa8319245527420f9a0f3325535230ffd6b3714277685e67870e062cba9,[],1+6+,+,['Kakashi/Iruka'],en,428,1/1,2,108,12,1219,2009-01-07,M,M,N,C
444271,Vivo,f4ab2317cf5b4b260b6f52ee90f629ff9f6517f5748f1291ff1eab5fc240c8df,[],+,+,['Kyuubi/Uzumaki Naruto'],es,395,1/1,0,25,1,412,2009-01-07,T,GO,C,C
24904405,Shatter the Mirror,f8e55d65eacb243c98477262d0e3557ec446e84d1371ac8e92d2c4afabed418b,[],36+1+3+,36+,"['College AU', 'Teacher/Student']",en,3523,1/1,4,28,3,724,2009-01-07,T,H,N,C
160399,Day's End,16854e9c300fbb2d6b6a5c1cee77c11e0e94f2d425eb56ea8739c5e208cf476f,[],85+3+5+,10+,[],en,2004,1/1,5,221,30,5194,2009-01-10,M,H,N,C
22225,Leave in Silence,7532f474de46138f874c977c39dfad751bc4bc09b952a43f61be467d419a74c9,[],2+,+,[],en,1323,1/1,0,8,1,242,2009-01-10,G,G,N,C
898638,Moving back,629638b81f3d4b680313900368b776663b1bb8398cd89cc92467c8a7618b4a5a,[],4+2+0+19+50+5+47+,2510+51+,[],en,1504,1/1,0,117,9,2884,2009-01-12,M,M,U,C
14328426,Морсо,a0bf3d1e80b22e158128a528a0ef0865bee14565cdbc23d64fe635a7c3001f0f,[],132+128+111+,6128+9+,"['Morso the nin-rat & young rats (Original Characters)', 'Humor and Black Humor', 'Open Ending', ""Don't copy to another site""]",ru,4390,1/1,0,5,0,63,2009-01-14,N,G,C,C
254982,A Booboo,c44779c928dcb01cb704f90e0d616ea77d2dcc0f9f0e9f1c5db2fb77f6f80937,[],33+0+7+,10+13+,[],en,1606,1/1,5,143,16,2588,2009-01-15,G,H,N,C
16932363,Exquisite Pain,fd55474269a963895594ec69082e34e673f9c8e23749be8587c7673e59fe77b5,[],91+16+0+27+,+,[],en,559,1/1,2,56,3,792,2009-01-15,G,M,C,C
643682,Videotape,8ac50cd0aee0c8fd2629d91dad3548ebe51b817207ae3b172e2d46ca8dfdd176,[],177+43+1+2+,241+81+170+372+266+15+27+3818+1086+,['Hatake Sasuke/Uchiha Sasuke/Shiranui Genma'],en,5965,1/1,4,231,39,6086,2009-01-18,E,MU,CN,C
22212,With His Own Hands,7532f474de46138f874c977c39dfad751bc4bc09b952a43f61be467d419a74c9,[],2+,66+336+,['Uchiha Itachi/Uchiha Sasuke implied'],en,1114,1/1,0,24,1,875,2009-01-20,M,O,U,C
22240426,Hear my Voice,2667e0969d3f12f917be3ce8dc90e24ea05f77a41b74813788bc443978a84a05,[],4+0+2+,59+10+2+57+3721+4043+463+9+220+,"['Switch Uchiha Sasuke', 'Switch Uzumaki Naruto', 'Rivals to Fuck Buddies to Lovers', 'ch05 is NOT an actual chapter']",hu,27844,5/?,0,4,0,124,2009-01-21,E,M,C,W
103330,The Grudgingly Acquainted,bff234eba63648aedbf1629826d622b468b9fa414b3106b39d634ee51ea90621,[],12+1+6+128+,167+26+13+,[],en,4797,2/2,4,336,41,4663,2009-01-22,G,G,N,C
9453479,Обратная сторона Луны,a01ec414eecff3aab490dc37ab48f51e441aa18e87851957a9fb90d6b7e0e06e,[],2+0+,19+59+2+9+4819+,[],ru,3232,1/3,0,12,0,114,2009-01-22,G,G,N,W
512195,Hags Sleep Beautifully,0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,[],367+28+3+0+,+,[],en,1967,1/1,2,93,9,1314,2009-01-23,G,H,N,C
254983,A Prior Engagement,c44779c928dcb01cb704f90e0d616ea77d2dcc0f9f0e9f1c5db2fb77f6f80937,[],33+0+7+,10+13+,[],en,4528,1/1,9,203,25,3792,2009-01-24,G,H,N,C
810594,Quatre mariages et un enterrement,753c318b08066bda3637de45a1c7dae865aa8a32373b2e81b8297699b12899cc,[],4+58+613+970+222+0+2+3+20+7+15+28+,10+11+188+13+,['Film remake'],fr,65829,14/14,0,11,9,679,2009-01-24,M,HM,U,C
6799555,Sensei,16d9e3c8e791a547561c9406296639f2fa55d65e2bd6cd66493237405c9b2e09,[],177+2+1+23+,+,[],en,7962,1/1,0,77,15,1977,2009-01-24,E,M,C,C
122703,Betrayed,3adb91ba328a070bde44eb4c0098f5bc288f38312de7c15ab1895ac1276c9e4f,[],0+2+5+,2+59+265+237+7496+42+1083+1336+,"['SasuNaru', 'ItaNaru', 'ItaSasu', 'Translation Welcome']",en,2718,1/1,21,272,21,11232,2009-01-26,M,M,DR,C
267708,"Konoha, We Have a Problem",3ac92021a03e870a67e9ea372b11c754595517d81c3121fc07684007222a579d,[],91+16+0+28+,13+402+50+207+,[],en,1542,1/1,15,431,24,5756,2009-01-26,T,M,N,C
21035426,Пламя,c0f574aa140531defee24134fc5500623abfb8481f2f1d82604201ef836fdf98,[],5+,2+229+35+267+,[],ru,383,1/1,0,2,0,15,2009-01-28,G,G,N,C
32657,Birthmark,fc1d1528d818f22c11537e0809051633b9bfc6eeba985f00f1a6c5f640343df3,['Teen Titans (Animated Series)'],5+,2883+7548+33+,['1000-3000 words'],en,1305,1/1,2,18,1,774,2009-01-31,G,G,N,C
32671,Strings Attached,fc1d1528d818f22c11537e0809051633b9bfc6eeba985f00f1a6c5f640343df3,['Warcraft'],5+,33+7548+998+,"['Arthas Menethil', '100-1000 Words']",en,656,1/1,0,20,0,489,2009-02-01,G,G,N,C
770209,The Anatomy of Need,493a9a83863afccafde267fda36a9c2a144f16ee67076ffd0ca80d88bea4d858,[],79+,+,[],en,4186,1/1,14,158,60,1502,2009-02-01,T,G,C,C
32682,Who Loves Thee Best,fc1d1528d818f22c11537e0809051633b9bfc6eeba985f00f1a6c5f640343df3,['Sakura Gari'],5+,7548+33+1063+,"['Tagami Masataka', '1000-5000 Words', 'Quest']",en,3705,1/1,1,11,4,1145,2009-02-02,G,G,N,C
445604,Certezas,f4ab2317cf5b4b260b6f52ee90f629ff9f6517f5748f1291ff1eab5fc240c8df,[],365+,+,[],es,324,1/1,2,12,1,126,2009-02-02,M,M,C,C
7661752,One More for the Road,fc1d1528d818f22c11537e0809051633b9bfc6eeba985f00f1a6c5f640343df3,['Naruto'],5+,33+,"['Saiki Souma', 'Vampire AU']",en,222,1/1,0,4,1,141,2009-02-02,T,0,N,C
427239,¿Quieres tener una cita conmigo?,d31ebd37017e9ccba4e5031a4537edb2d6c12e7bae13f2d42d62ec5488e156d6,[],4+0+2+,13+,[],es,490,1/1,1,39,7,414,2009-02-06,G,M,C,C
31901,What a Best Friend is For,f577638bf150c37a74fec1559ba4c1cc857f653ca7da613c9d6fc40db6359fd8,[],11+8+,10+26+,['Yamanaka Ino/ Nara Shikamaru'],en,1197,1/1,0,35,2,698,2009-02-07,G,0,N,C
426651,The Different One,3a3c332a5f4c0225d55646c33130bdd622480680a6bda7978681e5f0fec444b7,[],106+5+0+,194+,[],en,10175,1/1,18,171,30,2849,2009-02-08,T,M,VD,C
462139,Caminos,f4ab2317cf5b4b260b6f52ee90f629ff9f6517f5748f1291ff1eab5fc240c8df,[],4+,2+,[],es,598,1/1,0,14,1,313,2009-02-09,T,M,C,C
9435680,Простые вопросы,a01ec414eecff3aab490dc37ab48f51e441aa18e87851957a9fb90d6b7e0e06e,[],936+2532+81+275+5+,10+0+9+8+267+,"[""Don't copy to another site""]",ru,1932,1/1,12,29,0,170,2009-02-11,T,M,N,C
31899,You Are My Only Worth,f577638bf150c37a74fec1559ba4c1cc857f653ca7da613c9d6fc40db6359fd8,[],+,59+521+61+,"['Neji/Hina', 'Hyuga Neji', 'Hyuga Hinata', 'Hyuga Hanabi', 'Hyuga Hiashi', 'General']",en,1604,1/1,2,56,3,1048,2009-02-12,G,0,N,C
31900,Smile For Me Soon,f577638bf150c37a74fec1559ba4c1cc857f653ca7da613c9d6fc40db6359fd8,[],11+8+,10+13+,['Shika/Ino'],en,605,1/1,2,51,9,886,2009-02-11,G,H,N,C
5710285,If Asked,f8fc34e99272fa0c118d3a90559b593064a92c1990b5766e9876068f22dd582e,[],4+2+0+,0+,[],en,120,1/1,4,177,7,1983,2009-02-13,G,M,N,C
31897,Eyes That Have Never Seen,f577638bf150c37a74fec1559ba4c1cc857f653ca7da613c9d6fc40db6359fd8,[],+,59+61+,"['Neji/Hina', 'Hyuga Hinata', 'Hyuga Neji']",en,1978,3/3,0,81,3,1755,2009-02-14,G,G,N,C
31898,A Public Performance,f577638bf150c37a74fec1559ba4c1cc857f653ca7da613c9d6fc40db6359fd8,[],+,10+59+,"['Neji/Hina', 'Hyuga Hinata', 'Hyuga Neji']",en,969,1/1,6,136,14,2330,2009-02-14,T,H,N,C
679429,The Talk,8a19001450fc3f36612137edb4a757e51a0d92e5c9f5b3622dbb9350ce161d70,[],6+,13+,[],en,1253,1/1,0,21,2,325,2009-02-14,T,G,N,C
