id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
764276,Last of the Yellow Ribbons,bef44fd69dc61219e0b13cf42f56a9c8d0190b7628b3dac5c072e9e3db6014b3,[],2+152+0+1+5+4,19,en,2000,2/?,0,4,0,224,2013-05-01,N,MU,C,W
780519,<3/?... !/??...?/???... <3?/<3,a465b0b1c595465dc5319920f690c6ebbdf0fa981b9f9df002d9758196c2cb63,[],2+0+1,50+10,en,184,1/1,8,48,6,732,2013-05-01,N,0,C,C
771648,Bowing But Not Broken,1a2db3dcec62b9ef345e4dfea3c428a67519ebc0d23a14152f3b3421906a998c,[],0,23+731+372+633+6264+2+2907+705,en,5204,6/6,19,94,7,3872,2013-05-01,E,HM,C,C
780707,Test Tubes and Ice Crystals,9898a7e86563f1dced450d4a53c9ce4a3fad20e3f1d2eb6dd3977dfae0296c34,['Marvel (Movies)'],6+0+1+3+4+148,691+350+1935+31+507+41,en,911,1/1,1,29,1,412,2013-05-01,T,G,N,C
780247,Sleep Study,92a5a1369270eb1394e53108b3180191f394b2dc39599242efabcff36db075c7,['Sherlock Holmes & Related Fandoms'],2+0+1,0+6+339,en,3038,1/1,12,382,34,3858,2013-05-01,G,M,N,C
774400,Text Messages Cannot Convey Feelings- Alternate Ending,48513af8c4cc0d944d1d7f0b402ede585422aaec3e8f01fcfe26e2b44b4ebe54,[],2+0+1+3+4,90+265+49,en,4608,12/12,2,45,4,1213,2013-05-01,G,M,D,C
778912,A Secret Place,e7a8aa2df7e5d0b233da615af4e7fef148bec39aef1709da0a80391ad0316563,[],6+14+2+0+1,308+961,en,4259,1/1,47,550,76,7737,2013-05-01,G,G,N,C
780257,His Own Heart Laughed,aaa8315548e1737f90ec056a5c5a417a96127c59e72dcc2bca906ded0a761e9e,[],9+30+123+0+5+8+1+10+4+3+110+105+604+210,124,en,21604,4/4,13,114,17,2522,2013-05-01,G,H,C,C
780336,Trigger,b274b98d26a8fa3bc061e5c97d97dcf9d79114b9dbcd8c479d4644b414120835,[],580+16+0,201+63,en,496,1/1,4,34,3,425,2013-05-01,G,G,N,C
780372,The Bridge,74f08a30a7699ea610c82a0ab817b97cf4e60b8520525e69f662b8cf4c1af451,['BBC Sherlock'],2+4+1+0,840+2,en,2437,1/1,2,72,6,904,2013-05-01,N,0,C,C
780380,"""I owe you a thousand apologies.""",74f08a30a7699ea610c82a0ab817b97cf4e60b8520525e69f662b8cf4c1af451,['Sherlock (TV)'],2+1+0,2+0,en,528,1/1,0,17,1,244,2013-05-01,N,0,CN,C
780500,Dom For Me,e112aeb0632e5d80bf9495f4462ae1039fe70671c4d8d2e4eb22bd35779d5b7e,[],62+5+8,5372+1096+3045,en,1058,1/1,0,25,3,1515,2013-05-01,E,H,C,C
780580,"Marry me, if Convenient",5d646c8900061beb81484e8c876cf3db1cf2649a4ef4a60b3f2603227140118d,[],0,9107+0,en,626,1/1,5,119,9,2644,2013-05-01,N,M,C,C
780659,"Hello, brother.",f062847f1ccd6a0dcd773a6bc6b9f9411f135166ac07be441a05e5e04a02bd90,['Sherlock Holmes & Related Fandoms'],7+3+4+24,,en,221,1/1,0,121,2,4268,2013-05-01,M,M,C,C
780776,Troubles of a Reader,af3da377b0849db1d9d345047286e6e736d741203cf990178ff71d83fb7cb0ca,[],,,en,1436,1/1,2,3,1,270,2013-05-01,G,G,C,C
781128,"Happy Birthday, John",29d06c7cf117deae509183f351ecd3f6d69650e262570cd37458c45dc1b5e158,[],2+6+14+0+1+10,477+1379+472,en,4644,1/1,3,47,10,1165,2013-05-01,T,HM,CN,C
781390,Silence of the Sirens,69c6c087ee6997e750e897b06c040027f5b8e6cd0c11dd1dc5edb38118a45efb,['Sherlock Holmes & Related Fandoms'],2+0+1+22+162,754+897+1856+961+0+10+6207+103+11+375+464+36+5292,en,1487,1/1,13,367,46,4098,2013-05-01,T,0,C,C
780762,Джону снится Шерлок,29c300fcdb9399b5668e58ad64a2852f04d19dbabad21efaa0a3be9169e83077,[],2+0+1,2,en,1596,1/1,0,12,0,158,2013-05-01,M,M,C,C
780732,I'll Be Mother,69d227bdcae877e084bf899b9f672a7f9d86fa861fa728b59472b9b09f30f448,[],852+0+8+11+1+5+3+171,52+108+398+211+5007+313,en,6269,1/1,7,137,17,2183,2013-05-01,G,G,N,C
780883,John's Words,64fc47b73d743063fced5a2a31216b21125ae008041649cd8770cdb371a87447,[],2+1,,en,372,1/1,5,11,0,289,2013-05-01,T,0,N,C
781002,Phantom Pain,5d646c8900061beb81484e8c876cf3db1cf2649a4ef4a60b3f2603227140118d,[],2+1+0,,en,852,1/1,0,13,0,472,2013-05-01,T,M,C,C
672466,Are You Sitting Comfortably?,ee314f4d835f6da9ce0bb42250261fc458c70e39d82d09f7d0b30fe1d4d32ea0,['Sherlock Holmes & Related Fandoms'],17+8+11,5956+57+180+170+118+27+15+705+693+811+3280+750,en,5538,8/?,12,106,7,7273,2013-05-01,E,M,C,W
781154,And I Yours,abce2ba802e9fb35ba7bbfb1d216cb98d79d6edf4a7a64e3554bb9ef9b4b61cf,['Sherlock Holmes & Related Fandoms'],2+6+0+1,78,en,2185,1/1,13,331,50,20361,2013-05-01,E,M,CN,C
617132,Immersion,c4c3ef18ef8ade07f8e5dbdc0a07e02110a30a21a86035145ea84d9ad164c6a1,[],0+1,118+1824+1377+756,en,39861,5/5,53,88,9,2291,2013-05-01,E,H,C,C
771876,Someone Like You,0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,[],7+3+4+1+0,15+27+57,en,12662,8/?,24,58,4,2547,2013-05-01,E,HM,C,W
781246,Mine,0be65364668737aea3852fd6944904b24598f4abf80b7d4830176c10927cd13a,[],2+0+1+4,1220+200,en,845,1/1,1,53,6,2319,2013-05-01,T,M,N,C
761530,More Than Nothing,a866c2c49eea2758a1695fafd3ff0ca4950e99e0a0deb1cc87d2de9d3866ef6d,['Sherlock Holmes & Related Fandoms'],2+6+1+0+15,1270+1081,en,13656,8/8,18,72,8,1454,2013-05-01,M,M,CN,C
781363,Do That Again,7bc647c9e12ed5c784eaf42fd130144d68706b8bf5b7b00d7ab6c8637108ec35,['Sherlock Holmes & Related Fandoms'],7+4+3,855+15+51+36+121+2531,en,2962,2/2,6,201,29,3300,2013-05-01,M,M,C,C
781344,The Fall of The British Government,0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,[],7+14+3+4+10+0,,en,1282,2/2,3,31,3,1466,2013-05-01,T,HM,V,C
