id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,unknown_tags,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
146698,Booze Party Friday Night,464346f6a067dea3e9648f7fd38e8672d0abf1e6997a2618c125471fd52809d8,[],115+,11+,"['Kitty Pryde/Tamson Doniger', 'Dani Moonstar', 'Laura Wilken', 'Tamsin Doniger', 'OC Female']",en,1540,1/?,0,2,0,345,2011-01-01,T,FG,N,W
146717,Beauty In The Breakdown,7c9e4bf7ca620edd28edbfa87c634882a98f6c5b0e45247dd852c774a4d06b0e,['Fantastic Four (Movieverse)'],111+,15686+,"['Johnny Storm/Savannah Levine', 'Savannah Levine', 'Eve Levine', 'Chris Halliwell', 'Crossover Pairing']",en,5101,1/1,0,1,1,223,2011-01-01,N,H,N,C
2154519,"Family, Meet My Mutant Friends",9404bdaf2f51552f32c5733663b9fa1c4a3879eb8a8542b6bec8f057490fe06f,[],2722+140+208+445+404+714+1515+555+101+68+17+80+103+115+107+766+2270+2346+932+4135+2649+4190+43+152+,19+9184+4009+280+299+2106+1421+2621+61+201+3425+2413+1286+602+1365+402+,"['Roberto da Costa/Rhane Sinclair', 'Sam Guthrie/Amara Aquilla', 'pre-Pietro Maximoff/Tabitha Smith', 'Rhane Sinclair', 'Jamie Madrox', 'Reverend Craig', 'Jay Guthrie', 'Lewis Guthrie', 'Joelle Guthrie', 'Juliana Sandoval', 'new mutants - Freeform', 'Origin Stories', 'parental abandonment', 'past bullying', 'past rejection', 'Religious Intolerance', 'witch-burning', 'Mutant Hate', 'Crime', 'Bullies', 'Home Movies']",en,34346,13/13,1,24,2,1162,2011-01-01,T,H,C,C
14057685,With Apologies to Marilyn,8135ee7ae1aa817090b29d3aefebbbc866f6a59349bbe82ee59eab72b4714d69,"['Deadpool (Comics)', 'X-Men (Comicverse)']",29+17+,50+370+455+,"['Other Characters', 'Drabble and a Quarter']",en,125,1/1,0,7,0,80,2011-01-01,T,G,N,C
14060703,Two Mutants and a Nation Walk into a Bar,8135ee7ae1aa817090b29d3aefebbbc866f6a59349bbe82ee59eab72b4714d69,"['X-Men (Comicverse)', 'Hetalia: Axis Powers']",208+43+,33+4114+592+,"['Canada (Hetalia) & Logan (X-Men)', 'Canada (Hetalia)', 'Canada Has Issues']",en,413,1/1,0,52,4,373,2011-01-01,G,G,N,C
146927,All's Fair In Love,c979b70118e92c5b6ddccf3173a18ea48bd62d13d3e8bfccd21854fdf2249885,[],8+1+0+179+155+103+3+,0+34+,['James Howlett'],en,4866,1/1,18,489,84,11443,2011-01-01,T,M,C,C
147085,With Trembling Hands I Held Your Life Inside You,7c9e4bf7ca620edd28edbfa87c634882a98f6c5b0e45247dd852c774a4d06b0e,"['Fantastic Four (Movieverse)', 'Charmed']",111+,15686+,"['Johnny Storm/Savannah Levine', 'Savannah Levine', 'Sue Storm', 'Jeremy Danvers', 'Eve Levine', 'Bryce Nast', 'Chris Halliwell', 'Wyatt Halliwell', 'Crossover Pairing']",en,8818,1/1,0,2,0,333,2011-01-02,N,HG,V,C
147241,Moondance,c5ddaf6b39c0881dbc87fefbf10326bd843fbd80a9eb4ec948cf7f41194771ce,[],+,3897+,"['Jubilee', 'moonlight tease dance forest scent']",en,1407,1/1,0,4,0,189,2011-01-02,M,H,C,C
147244,Coming To,c5ddaf6b39c0881dbc87fefbf10326bd843fbd80a9eb4ec948cf7f41194771ce,[],+,3897+,"['Jubilee', 'scent prowl slim legs burn']",en,436,1/1,0,4,1,413,2011-01-02,E,H,C,C
147285,Jaundice,ade9367cef79ed95e3565b59f4983d98126fa30a4ed82a770b20ff8b0f92e800,[],594+525+,7176+63+4704+,['Drake (Blade)'],en,1069,1/1,12,387,69,8371,2011-01-02,M,M,N,C
147378,Tree of Life,c5ddaf6b39c0881dbc87fefbf10326bd843fbd80a9eb4ec948cf7f41194771ce,[],+,3897+,"['Jubilee', 'Christmas spruce season mystery']",en,1132,1/1,1,2,0,178,2011-01-02,G,H,C,C
147486,Take a Gamble,be6b447cfd4806f65ccefedb2624b5aee081ad77592463be5e63dbd7d3cb4f52,['X-Men (Comicverse)'],6538+114+,33+1480+,"['Logan Echolls', 'Veronica Mars', 'Crossover Pairing', 'Mutant']",en,6952,1/1,1,23,2,439,2011-01-03,M,M,U,C
147494,Welcome Home,be6b447cfd4806f65ccefedb2624b5aee081ad77592463be5e63dbd7d3cb4f52,[],1665+209+114+68+80+,35+2+1480+,[],en,299,1/1,0,55,2,1233,2011-01-03,T,HM,N,C
