id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,unknown_tags,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
5345777,Three Sentence Ficathon 2015,b1926f4da9b289eb2f9ecd884ef715f9f3fa2881c2ef5106b07c1804a6d9ed06,"['Harry Potter - J. K. Rowling', 'Thor (Movies)', 'Marvel Cinematic Universe', 'Pirates of the Caribbean (Movies)', 'Chronicles of Narnia (Movies)', 'Glamourist Histories Series - Mary Robinette Kowal', 'Guardians of the Galaxy (Movies)', 'Firefly', 'A Song of Ice and Fire - George R. R. Martin', 'Game of Thrones (TV)', 'Mad Max Series (Movies)', 'The Goblin Emperor - Katherine Addison', 'True Blood', 'Star Trek', 'Buffy the Vampire Slayer', 'X-Men (Movies)', 'Greek and Roman Mythology', 'Dreamblood Series - N. K. Jemisin', 'The Man From U.N.C.L.E. (2015)']",+,+,"['Justice of Toren One Esk Nineteen | Breq', 'Seivarden Vendaai', 'Draco Malfoy', 'Harry Potter', 'Loki (Marvel)', 'Jane Foster (Marvel)', 'Thor (Marvel)', 'Jack Sparrow', 'Will Turner', 'Tumnus', 'Lucy Pevensie', 'Malcolm Reynolds', 'Simon Tam', 'Rocket Raccoon', 'Groot (Marvel)', 'Hoban ""Wash"" Washburne', 'Zoë Washburne', 'Jaime Lannister', 'Brienne of Tarth', 'Max Rockatansky', 'Furiosa (Mad Max)', 'Darcy Lewis', 'Csethiro Ceredin', 'Buffy Summers', 'Spike (BtVS)', 'Clint Barton', 'Logan (X-Men)', 'Kurt Wagner', 'James T. Kirk', 'Leonard McCoy', 'Ἁδης | Hades (Hellenistic Religion & Lore)', 'Περσεφόνη | Persephone (Hellenistic Religion & Lore)', 'Ἀπόλλων | Apollo (Hellenistic Religion & Lore)', 'Κασσάνδρα | Cassandra (Hellenistic Religion & Lore)', 'Sansa Stark', 'Gaby Teller', 'Illya Kuryakin']",en,1671,30/?,3,25,1,623,2016-01-01,N,FHGMUO,C,W
5643445,not even the gods above (can separate the two of us),0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,['Greek and Roman Mythology'],+,5+75+122+0+34+106+373+1006+245+,"['Harry Styles/Louis Tomlinson', 'Niall Horan/Zayn Malik', 'Harry Styles', 'Louis Tomlinson', 'Niall Horan', 'Zayn Malik', 'Liam Payne', 'Simon Cowell', 'Nick Grimshaw', ""These last three don't appear too frequently"", 'extremely minor', 'Greek Mythology - Freeform', 'Basically it is an excuse for me to nerd out on my Greek Myth knowledge', 'Alternate Universe - Greek Mythology']",en,20196,1/1,33,293,145,10839,2016-01-05,E,M,V,C
5651416,heaven and hell were words to me,f2203267f2eaaec01e5bd09d47d00b6f86f1dab8fe6b49b41b61b066fec2736c,['Greek and Roman Mythology'],+,+,"['Ἁδης | Hades/Περσεφόνη | Persephone (Hellenistic Religion & Lore)', 'Ἁδης | Hades (Hellenistic Religion & Lore)', 'Περσεφόνη | Persephone (Hellenistic Religion & Lore)', 'Δημητηρ | Demeter (Hellenistic Religion & Lore)']",en,918,1/1,2,57,5,1420,2016-01-06,N,H,N,C
5646229,Goddess,de1ec753461702d8b676d076e2812aa8835e89a57c50e1515146326b689b74f4,[],+,442+4776+,"['Αθήνα | Athena (Hellenistic Religion & Lore)', 'Greek Mythology - Freeform']",en,4,1/1,0,13,0,289,2016-01-06,G,G,N,C
5660038,but it's better if you do,8af9f2b5bb1cd138df576a1784b321b8fa5e85b1a726f693176d83a3a9c8759f,[],+,4517+3946+8235+1542+,"['Artemis & Apollo', 'Apollo/Daphne', 'i still like this au', 'i havent written fanfiction in a while', 'there are undertones of apollo/artemis in this', 'maybe i should list that in the relationships???', 'nah']",en,1665,1/1,4,71,4,1726,2016-01-07,T,G,N,C
5660164,The Abduction of Proserpinos,c27310af05957f1f2ee36ef3dac5c88916100971dbb48751627a4f635602c43e,[],+,3752+19+1042+108+753+517+27+1234+,"['Male Persephone', 'Female Hades']",en,3400,1/1,18,212,37,5963,2016-01-07,E,H,N,C
5659870,Eurydice,c27310af05957f1f2ee36ef3dac5c88916100971dbb48751627a4f635602c43e,[],+,10537+166+1025+1350+2115+704+354+298+,"['Eurydice/Orpheus', 'Original Character']",en,1155,1/1,12,7,0,150,2016-01-07,G,H,N,C
5660245,Medusi,c27310af05957f1f2ee36ef3dac5c88916100971dbb48751627a4f635602c43e,[],+,19+237+161+445+81+1242+,"['gorgons', 'Last of a species']",en,1883,1/1,5,6,0,128,2016-01-07,N,HM,N,C
5695972,"On appelle ça l'amour, certainement fatal",8a68be1b00cd4be589b39ebc1ead2427241b730941da4650859e070e6fd54702,[],+,963+3054+10+95+2201+,"['Ἁδης | Hades/Περσεφόνη | Persephone (Hellenistic Religion & Lore)', 'Ἁδης | Hades (Hellenistic Religion & Lore)', 'Περσεφόνη | Persephone (Hellenistic Religion & Lore)', 'Humour']",fr,11818,5/20,0,5,1,134,2016-01-13,G,H,C,W
5542175,Seeds of a Dilemma,157dad8a474859274e1468cb3d06388ec34f46ef4df9ac3f6ddbed7c3bdd6631,"['Marvel Cinematic Universe', 'The Avengers (Marvel Movies)', 'Greek and Roman Mythology']",+,350+9+238+24+57+252+,"['Darcy Lewis/Loki', 'Darcy Lewis', 'Loki (Marvel)', 'Thor (Marvel)', 'Jane Foster (Marvel)', 'Odin (Marvel)', 'Frigga (Marvel)', 'Sif (Marvel)', 'Hogun (Marvel)', 'Hades and Persephone AU', 'Apples of Idunn', 'Canon Divergence - Thor: The Dark World', 'at least for now', 'sex without emotional attachment']",en,14338,6/?,140,363,67,6507,2016-01-17,E,H,N,W
