id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
19427437,Olympahoma,2a550c96c15a1a7d6853b4776ac8caada4d5ada9afd573ff3aea15dc65561dd4,['Ancient Greek Religion & Lore'],,,en,26787,8/8,0,1,2,26,2019-07-01,M,G,V,C
14680494,All the Stars in the Sky,9dc3f350a73c5d78173419a35ff3b86d61fbfd4334cec3939e3566269ffe8972,"['Percy Jackson and the Olympians - Rick Riordan', 'Percy Jackson and the Olympians & Related Fandoms - All Media Types', 'Greek and Roman Mythology', 'The Trials of Apollo - Rick Riordan']",,350+9837+41+78+861+37+707+689+284,en,5840,8/?,283,4162,652,47484,2019-07-01,G,GM,N,W
19446931,Quest seekers,e7a8aa2df7e5d0b233da615af4e7fef148bec39aef1709da0a80391ad0316563,['Ancient Greek Religion & Lore'],,7551+469+1413+2012+2050,en,445,1/1,0,1,0,17,2019-07-02,G,G,N,C
19151410,Divine Roommates,f103a912f3918c6faf622424ab352f2b09f26bd4d7c6b825c64d32a6ba9f8c99,[],,7003+3946+7155+5686+448+26,en,3064,3/3,0,25,1,568,2019-07-03,G,HM,N,C
19474708,Born of Autumn,ded7cd557b1c18c5565ed19ef88e3090102435fbe6038a345a216e93ef50fe94,['Ancient Greek Religion & Lore'],,3752+2441+4249+19,en,310,1/?,4,6,0,182,2019-07-04,G,O,C,W
19580500,Betrayal,977cee784a7e309380bfdd3f3082dfedb75d8cab8b7eef11630a241446543a30,['Ancient Greek Religion & Lore'],254,221+356+75+161+1188+385,en,2233,1/3,5,105,15,1774,2019-07-05,T,H,C,W
19700956,Found,5d53e461f4472bd578862f5e8ccbd70efe842cb33335a49ecc6bab2bd287229e,[],,,en,1263,1/1,0,3,1,40,2019-07-06,G,M,N,C
19704592,The Wedding Day,5c09c4b8becba8890be000c20205d96add1b0a2fa74517f860279183ceed6214,[],50+41+71,,en,100,1/1,6,18,2,162,2019-07-06,T,G,C,C
18071663,The Sun and the Flower,5d2e83c6d9df2eb92d88f403e80caeb05a4cc8f632518cdeff779b213cff5183,[],,9118+7003+329+45+126+1974+13+121+2507+297+806+382+1355+105+2255+2+162+763+83,en,46869,17/17,31,105,10,4155,2019-07-07,T,MUH,D,C
4404605,Poetic Drabbles,8084a1c2eefd4fca49e0b030b752748a1abab861e2e05d21112f4c2beab90daa,"['NCIS', 'House M.D.', 'Star Trek: Alternate Original Series (Movies)', 'Torchwood', 'Hawaii Five-0 (2010)', 'Gilmore Girls', 'Greek and Roman Mythology', 'Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",,2403+4249+2441+0+2,en,2349,14/?,14,66,3,1771,2019-07-07,G,MHG,N,W
19720831,"From Asphodel, with Love",f45787d84e3933697bae379acf89f7f268ce4a141555f5a9c280fd8792d3c9f3,[],,3752+4249+236,en,123,1/1,0,16,0,225,2019-07-08,G,HG,N,C
19471726,"These Vines of Iron, Walls That Form a Prison",67dcf153338ebc3c36e0296355d11afbb7e694923d3148cf2c4821a57f7b1f13,['Greek & Roman Mythology - Fandom'],191+759+145+4,3562+6032+9,en,4352,1/1,1,27,1,468,2019-07-08,T,HGF,C,C
19720849,Niobe,f45787d84e3933697bae379acf89f7f268ce4a141555f5a9c280fd8792d3c9f3,[],334,236,en,159,1/1,0,5,0,99,2019-07-08,G,G,N,C
