id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
35433850,Second time lucky,07f5f08b09f3e2a0948ed3764e395601da96097a75fc71fd700a239e3ec55ad0,[],389+18+15+79+10+147+1187,52+23+2+275+113+20+12,en,1329,1/1,2,4,0,112,2021-11-30,G,H,N,C
35434309,Our Scars Do Not Define Us,2a53141e94e5bd4fdcfe6c88dfcd0d87d9085b127f85a31a5b19e29b72fdd3f1,[],13+2+1+208+902+232+743+4700,5+0+39+57+180+302+899+469,en,3774,1/1,47,1472,188,20733,2021-12-01,E,H,N,C
35373892,And They Said It Wouldn't Last,5bc28cc694074bd90c78979c35c2714679f387d9b9461d9cd6a4f2050029a6fc,[],30+0+10+53,186+219,en,1683,2/?,3,11,1,496,2021-12-01,T,FHM,N,W
35188150,The Mark of Grey: shades of grey,0f3816cf36a823e7cabeaf6e0ebf10a3786cd8e8a43c4fd44d1a4050efdae9ee,[],13+307+578+3776+9+110+1+2+20+34+18+15+7+74+5+4+39,3119,en,3642,3/?,0,15,1,449,2021-12-01,M,HM,CV,W
35434513,Diggin',0dc7b674fe6cb7e8409c31340af3cb0b7d4a65490bb98c8bc001c04ae963cd88,[],3+377,562+858+4386+30+255+448,en,422,1/1,10,65,6,782,2021-12-01,T,M,N,C
35434768,Extra Credit,63da97ba782202305d202e72facaaacd1d045becd639e61a7bb207980e8883c7,[],1+6,1824+1743,en,860,1/1,0,34,3,2756,2021-11-30,E,H,RU,C
35092381,"Forgive me, father, for I have sinned.",7d24eb5a607571775124639b485ebc3c07ecdf77f4c4e54c2e50b67518b40030,[],248+6,1915+57+1101+684+2436+109+1096,en,5426,2/2,11,52,5,1186,2021-12-01,E,H,N,C
35435284,State of Bliss,e83be4c63fe5ce3531f0f131f80101f2a4afdbabf6f4d8c1c26d98bcc3006d18,['Marvel Cinematic Universe'],10273+0,8+10+1005+193+57+718,en,662,1/1,0,27,5,1573,2021-12-01,E,H,N,C
35418919,What Now,c0a891aa80ad3a2457d39a211d2c0c72b4012c1c1870fe50df3a6f5b108f7e60,[],294+13+1088+1+7+59+0+156,2+3909,en,2637,4/4,1,17,1,550,2021-12-01,T,H,C,C
35435335,Within Your Eyes,4c099f512243d34bf2d2e3c92597139bb9d5ec065f1e6dc39383abe0865863a1,[],3+39+37+901,706,en,2760,1/1,2,42,5,293,2021-12-01,M,M,N,C
34663987,The Auror and the CEO,a8424d161f60221de42f14c2cdcafd7b2229e22dd38a00fe91662d5ee635323b,[],27+29+7781+616+0+1+5+44+35+51+24+57+10+18+65+67+50+99+367+186+2+134+39+6001+352+203+340+557+641+109+2182+68+579+1257+433+2385+1897+3700+3400,208+9+8136+13+10+501+0+164+65+101+245+30+2817+70+41+24+478+6+382+1108,en,21755,7/?,43,413,86,6938,2021-12-01,T,HM,N,W
34214110,When The Gods Are Annoyed,5b86dbc288f60a1b7b5c79e99e5dc81c161f7437e09a579ad8a22e0a1fbfab37,[],0+15+157+147+60+69+422+1+10+18+5+39,500+771+90+232+719,en,75177,49/49,25,46,15,3022,2021-12-01,G,G,N,C
35435533,A Magical Stick,e83be4c63fe5ce3531f0f131f80101f2a4afdbabf6f4d8c1c26d98bcc3006d18,['Marvel Cinematic Universe'],2248+0+68+232+1357,13+233+105+121+35,en,211,1/1,0,46,4,2482,2021-12-01,T,H,N,C
35435593,Homework buddies,6ad9e5e3adac3f7444e3ebdfc63fcc2d7949098355e030bf7703da6511f9612d,[],1992+80+6,26+203+461+4035+456+86,en,619,1/1,2,73,2,747,2021-12-01,N,M,C,C
35435632,Golden (Age) Trio,259d1d6f93b9041f7d2011242f42e301fa82ac29e5a6cd6a882e1c0ea4122b5a,['Marvel Cinematic Universe'],1+0+5,3002+13,en,669,1/1,3,16,1,183,2021-12-01,G,0,N,C
35435761,First Impressions,e83be4c63fe5ce3531f0f131f80101f2a4afdbabf6f4d8c1c26d98bcc3006d18,['Marvel Cinematic Universe'],3699+1,121+233+867+5501+35+33+718,en,155,1/1,3,38,2,640,2021-12-01,T,H,N,C
35435785,Honeymoon Preparations,dc396c89c9df16783e5c807fdda443914e31731be92fa15b4e62a5645d75920e,[],1567+1+20+6218+1402,1468+503+931,en,706,1/1,11,36,3,244,2021-12-01,T,G,N,C
35436010,A Trip Home,e83be4c63fe5ce3531f0f131f80101f2a4afdbabf6f4d8c1c26d98bcc3006d18,['Marvel Cinematic Universe'],7353+53,10+2+35+6+68+211,en,267,1/1,0,7,2,85,2021-12-01,T,H,N,C
35436331,Full Moon Shifts,e83be4c63fe5ce3531f0f131f80101f2a4afdbabf6f4d8c1c26d98bcc3006d18,['Marvel Cinematic Universe'],9784+86+1824,35+8+2+1390,en,327,1/1,0,8,2,77,2021-12-01,T,H,N,C
35436805,Lost In Her Grief,e83be4c63fe5ce3531f0f131f80101f2a4afdbabf6f4d8c1c26d98bcc3006d18,['Marvel Cinematic Universe'],12890+115,2+6+681+57+423+83+292+255+152,en,243,1/1,0,0,0,80,2021-12-01,E,H,N,C
35436862,Snape's On a Plane,0a41cc0a8fd41ca568eed074b48e60501788d16f2004db35f64be8487b86fa76,[],49+6+1,13+10,en,1404,1/1,2,68,3,650,2021-11-30,T,H,C,C
35437132,A Wakandan Experiement,e83be4c63fe5ce3531f0f131f80101f2a4afdbabf6f4d8c1c26d98bcc3006d18,['Black Panther (2018)'],9183+1+3353,718+8+35+475,en,124,1/1,6,13,2,134,2021-12-01,G,H,N,C
35437219,【德赫】年少有为,9402b778ccbc07e1e3a6621631aefd5abfa666dfe947f4995d3c7dc29fcbb6a4,[],13+2+1+69+47+0,,zh,2425,1/1,1,12,2,630,2021-12-01,N,H,C,C
35437528,A Cold Bottom,e83be4c63fe5ce3531f0f131f80101f2a4afdbabf6f4d8c1c26d98bcc3006d18,['Marvel Cinematic Universe'],8304+60,35+57+13+10+0+8+841,en,161,1/1,2,1,0,52,2021-12-01,E,H,N,C
35437525,the foggy breath of early morning,46f2bf2e37644a187ccd18c8e53b0b1c3dd36c39081dcc9f2fa8860b32c40873,[],3+0+2+1244+39,1767+1083+729,en,50,1/1,0,4,0,94,2021-12-01,G,M,N,C
35437813,A Mere Diversion,53432637cb98618b68cf2157a5cb05a0ec4f6edef7ace5233316d70e6e69d2fc,[],1504+13+10+34+1+2,160,en,1860,1/1,5,155,8,1593,2021-12-01,T,H,N,C
31885807,"If You Jump, I Jump",a084de88327871d181693dba462909fee52be2347fda3ca1aec70a0cc852e86b,[],29,,en,62261,12/12,272,149,24,5007,2021-11-30,M,H,V,C
